TransID,Date,Month,Region,ProdName,Quantity,Price,Cost,Revenue,Profit
1,09/06/2023,6,MienBac,Tai nghe,1,505000,250000,505000,255000
2,08/07/2023,7,MienBac,Ban phim,3,824000,500000,2472000,972000
3,23/01/2023,1,MienTrung,Ban phim,9,800000,550000,7200000,2250000
4,25/09/2023,9,MienNam,Ban phim,2,760000,500000,1520000,520000
5,01/02/2023,2,MienBac,Dien thoai,6,7840000,6000000,47040000,11040000
6,01/06/2023,6,MienTrung,Ban phim,1,824000,550000,824000,274000
7,14/06/2023,6,MienNam,Tai nghe,3,475000,250000,1425000,675000
8,24/04/2023,4,MienNam,Ban phim,5,808000,500000,4040000,1540000
9,26/04/2023,4,MienNam,Laptop Dell,1,14550000,12000000,14550000,2550000
10,13/03/2023,3,MienTrung,Laptop Dell,1,14700000,13200000,14700000,1500000
11,23/07/2023,7,MienTrung,Tai nghe,3,500000,275000,1500000,675000
12,23/02/2023,2,MienTrung,Laptop Dell,6,14550000,13200000,87300000,8100000
13,01/05/2023,5,MienTrung,Laptop Dell,2,15150000,13200000,30300000,3900000
14,25/11/2023,11,MienBac,Chuot quang,5,198000,100000,990000,490000
15,01/04/2023,4,MienBac,Chuot quang,5,208000,100000,1040000,540000
16,17/02/2023,2,MienTrung,Ban phim,4,768000,550000,3072000,872000
17,05/05/2023,5,MienNam,Laptop Dell,4,15600000,12000000,62400000,14400000
18,13/02/2023,2,MienNam,Ban phim,1,832000,500000,832000,332000
19,16/04/2023,4,MienBac,Ban phim,2,832000,500000,1664000,664000
20,07/08/2023,8,MienTrung,Ban phim,5,808000,550000,4040000,1290000
21,17/08/2023,8,MienNam,Ban phim,5,768000,500000,3840000,1340000
22,02/06/2023,6,MienTrung,Chuot quang,4,196000,110000,784000,344000
23,13/12/2023,12,MienNam,Ban phim,7,760000,500000,5320000,1820000
24,19/07/2023,7,MienTrung,Ban phim,3,824000,550000,2472000,822000
25,09/12/2023,12,MienNam,Chuot quang,3,194000,100000,582000,282000
26,25/04/2023,4,MienBac,Chuot quang,3,204000,100000,612000,312000
27,17/11/2023,11,MienBac,Dien thoai,1,8240000,6000000,8240000,2240000
28,12/07/2023,7,MienBac,Dien thoai,1,8320000,6000000,8320000,2320000
29,20/02/2023,2,MienBac,Chuot quang,9,198000,100000,1782000,882000
30,08/09/2023,9,MienTrung,Laptop Dell,3,14700000,13200000,44100000,4500000
31,09/08/2023,8,MienBac,Ban phim,1,808000,500000,808000,308000
32,22/12/2023,12,MienNam,Ban phim,5,792000,500000,3960000,1460000
33,05/05/2023,5,MienTrung,Laptop Dell,3,15600000,13200000,46800000,7200000
34,02/03/2023,3,MienBac,Dien thoai,3,7840000,6000000,23520000,5520000
35,18/08/2023,8,MienBac,Tai nghe,2,485000,250000,970000,470000
36,12/07/2023,7,MienTrung,Ban phim,1,824000,550000,824000,274000
37,20/04/2023,4,MienBac,Tai nghe,2,485000,250000,970000,470000
38,10/01/2023,1,MienBac,Dien thoai,3,7680000,6000000,23040000,5040000
39,26/07/2023,7,MienNam,Tai nghe,4,490000,250000,1960000,960000
40,28/01/2023,1,MienBac,Laptop Dell,9,15300000,12000000,137700000,29700000
41,10/02/2023,2,MienBac,Laptop Dell,5,14550000,12000000,72750000,12750000
42,04/12/2023,12,MienBac,Tai nghe,1,490000,250000,490000,240000
43,22/10/2023,10,MienTrung,Ban phim,2,768000,550000,1536000,436000
44,14/05/2023,5,MienNam,Dien thoai,4,8240000,6000000,32960000,8960000
45,23/08/2023,8,MienTrung,Laptop Dell,5,14550000,13200000,72750000,6750000
46,16/08/2023,8,MienTrung,Dien thoai,4,8080000,6600000,32320000,5920000
47,12/02/2023,2,MienTrung,Ban phim,7,760000,550000,5320000,1470000
48,25/11/2023,11,MienBac,Chuot quang,9,194000,100000,1746000,846000
49,15/03/2023,3,MienNam,Ban phim,2,792000,500000,1584000,584000
50,11/02/2023,2,MienNam,Chuot quang,7,200000,100000,1400000,700000
51,28/02/2023,2,MienTrung,Tai nghe,3,515000,275000,1545000,720000
52,18/06/2023,6,MienBac,Ban phim,2,792000,500000,1584000,584000
53,05/08/2023,8,MienNam,Tai nghe,1,505000,250000,505000,255000
54,19/10/2023,10,MienNam,Dien thoai,4,8240000,6000000,32960000,8960000
55,27/08/2023,8,MienTrung,Laptop Dell,3,15600000,13200000,46800000,7200000
56,26/01/2023,1,MienNam,Tai nghe,5,520000,250000,2600000,1350000
57,03/12/2023,12,MienTrung,Chuot quang,1,198000,110000,198000,88000
58,10/12/2023,12,MienBac,Laptop Dell,3,14700000,12000000,44100000,8100000
59,12/05/2023,5,MienTrung,Chuot quang,4,192000,110000,768000,328000
60,03/01/2023,1,MienTrung,Chuot quang,8,194000,110000,1552000,672000
61,02/03/2023,3,MienBac,Chuot quang,4,190000,100000,760000,360000
62,17/02/2023,2,MienNam,Laptop Dell,1,14550000,12000000,14550000,2550000
63,02/04/2023,4,MienTrung,Dien thoai,5,8320000,6600000,41600000,8600000
64,25/01/2023,1,MienBac,Chuot quang,8,190000,100000,1520000,720000
65,24/03/2023,3,MienBac,Ban phim,1,816000,500000,816000,316000
66,10/05/2023,5,MienNam,Ban phim,2,832000,500000,1664000,664000
67,01/08/2023,8,MienTrung,Chuot quang,4,192000,110000,768000,328000
68,02/07/2023,7,MienNam,Dien thoai,3,7840000,6000000,23520000,5520000
69,18/12/2023,12,MienTrung,Laptop Dell,3,15300000,13200000,45900000,6300000
70,28/09/2023,9,MienNam,Chuot quang,4,206000,100000,824000,424000
71,28/01/2023,1,MienBac,Ban phim,1,768000,500000,768000,268000
72,09/02/2023,2,MienTrung,Laptop Dell,3,14850000,13200000,44550000,4950000
73,13/11/2023,11,MienBac,Laptop Dell,5,14400000,12000000,72000000,12000000
74,26/01/2023,1,MienNam,Tai nghe,1,490000,250000,490000,240000
75,26/04/2023,4,MienNam,Laptop Dell,4,15000000,12000000,60000000,12000000
76,27/12/2023,12,MienBac,Dien thoai,8,7920000,6000000,63360000,15360000
77,11/04/2023,4,MienNam,Tai nghe,4,515000,250000,2060000,1060000
78,10/04/2023,4,MienNam,Tai nghe,5,480000,250000,2400000,1150000
79,05/09/2023,9,MienNam,Dien thoai,4,8000000,6000000,32000000,8000000
80,09/06/2023,6,MienBac,Laptop Dell,4,14700000,12000000,58800000,10800000
81,27/12/2023,12,MienNam,Tai nghe,7,500000,250000,3500000,1750000
82,14/08/2023,8,MienNam,Dien thoai,2,8000000,6000000,16000000,4000000
83,24/10/2023,10,MienBac,Laptop Dell,5,15150000,12000000,75750000,15750000
84,01/02/2023,2,MienNam,Dien thoai,3,8240000,6000000,24720000,6720000
85,15/11/2023,11,MienTrung,Tai nghe,5,515000,275000,2575000,1200000
86,04/08/2023,8,MienTrung,Ban phim,2,792000,550000,1584000,484000
87,12/09/2023,9,MienTrung,Laptop Dell,1,15150000,13200000,15150000,1950000
88,12/03/2023,3,MienBac,Laptop Dell,4,14850000,12000000,59400000,11400000
89,16/06/2023,6,MienTrung,Dien thoai,1,8320000,6600000,8320000,1720000
90,18/12/2023,12,MienTrung,Laptop Dell,7,14250000,13200000,99750000,7350000
91,24/06/2023,6,MienNam,Dien thoai,1,7840000,6000000,7840000,1840000
92,11/11/2023,11,MienBac,Laptop Dell,1,15150000,12000000,15150000,3150000
93,17/12/2023,12,MienBac,Ban phim,5,800000,500000,4000000,1500000
94,10/07/2023,7,MienNam,Tai nghe,1,475000,250000,475000,225000
95,08/05/2023,5,MienTrung,Chuot quang,3,198000,110000,594000,264000
96,16/12/2023,12,MienNam,Dien thoai,7,7920000,6000000,55440000,13440000
97,09/06/2023,6,MienTrung,Ban phim,1,776000,550000,776000,226000
98,19/09/2023,9,MienNam,Chuot quang,1,200000,100000,200000,100000
99,04/02/2023,2,MienNam,Laptop Dell,7,14250000,12000000,99750000,15750000
100,27/12/2023,12,MienNam,Dien thoai,4,8320000,6000000,33280000,9280000
101,08/08/2023,8,MienNam,Tai nghe,5,515000,250000,2575000,1325000
102,15/10/2023,10,MienTrung,Chuot quang,3,198000,110000,594000,264000
103,25/03/2023,3,MienTrung,Laptop Dell,1,15000000,13200000,15000000,1800000
104,10/12/2023,12,MienNam,Tai nghe,1,510000,250000,510000,260000
105,14/05/2023,5,MienBac,Ban phim,1,808000,500000,808000,308000
106,23/11/2023,11,MienBac,Dien thoai,7,8000000,6000000,56000000,14000000
107,01/05/2023,5,MienTrung,Laptop Dell,5,14700000,13200000,73500000,7500000
108,21/11/2023,11,MienNam,Ban phim,7,760000,500000,5320000,1820000
109,20/05/2023,5,MienBac,Tai nghe,3,520000,250000,1560000,810000
110,15/07/2023,7,MienNam,Chuot quang,3,202000,100000,606000,306000
111,03/11/2023,11,MienNam,Tai nghe,5,475000,250000,2375000,1125000
112,05/11/2023,11,MienTrung,Dien thoai,7,7840000,6600000,54880000,8680000
113,02/02/2023,2,MienNam,Chuot quang,7,190000,100000,1330000,630000
114,24/08/2023,8,MienNam,Tai nghe,3,505000,250000,1515000,765000
115,04/03/2023,3,MienBac,Ban phim,2,768000,500000,1536000,536000
116,23/03/2023,3,MienNam,Chuot quang,1,194000,100000,194000,94000
117,10/09/2023,9,MienTrung,Laptop Dell,4,15600000,13200000,62400000,9600000
118,18/06/2023,6,MienNam,Laptop Dell,2,15150000,12000000,30300000,6300000
119,27/10/2023,10,MienNam,Tai nghe,3,520000,250000,1560000,810000
120,16/06/2023,6,MienBac,Laptop Dell,1,15600000,12000000,15600000,3600000
121,16/02/2023,2,MienBac,Chuot quang,3,194000,100000,582000,282000
122,03/08/2023,8,MienTrung,Tai nghe,4,480000,275000,1920000,820000
123,11/10/2023,10,MienTrung,Laptop Dell,1,15300000,13200000,15300000,2100000
