MaGiaoDich,Ngay,Thang,KhuVuc,TenSanPham,SoLuong,GiaBan,GiaVon,DoanhThu,LoiNhuan
1,21/09/2023,9,Miền Trung,Điện thoại,2,7600000,6600000,15200000,2000000
2,05/11/2023,11,Miền Nam,Điện thoại,7,7760000,6000000,54320000,12320000
3,15/11/2023,11,Miền Trung,Chuột quang,4,196000,110000,784000,344000
4,28/12/2023,12,Miền Nam,Điện thoại,3,7840000,6000000,23520000,5520000
5,07/10/2023,10,Miền Nam,Điện thoại,4,8240000,6000000,32960000,8960000
6,27/02/2023,2,Miền Nam,Bàn phím,4,824000,500000,3296000,1296000
7,19/06/2023,6,Miền Nam,Laptop Dell,1,15300000,12000000,15300000,3300000
8,21/08/2023,8,Miền Bắc,Chuột quang,4,204000,100000,816000,416000
9,12/04/2023,4,Miền Trung,Tai nghe,2,510000,275000,1020000,470000
10,04/03/2023,3,Miền Bắc,Tai nghe,3,480000,250000,1440000,690000
11,06/03/2023,3,Miền Bắc,Điện thoại,5,7680000,6000000,38400000,8400000
12,14/12/2023,12,Miền Nam,Laptop Dell,1,15600000,12000000,15600000,3600000
13,11/08/2023,8,Miền Nam,Laptop Dell,1,15150000,12000000,15150000,3150000
14,20/06/2023,6,Miền Bắc,Bàn phím,4,760000,500000,3040000,1040000
15,02/05/2023,5,Miền Nam,Chuột quang,4,206000,100000,824000,424000
16,16/07/2023,7,Miền Nam,Chuột quang,2,194000,100000,388000,188000
17,06/02/2023,2,Miền Nam,Bàn phím,6,760000,500000,4560000,1560000
18,27/03/2023,3,Miền Bắc,Tai nghe,1,505000,250000,505000,255000
19,09/12/2023,12,Miền Nam,Điện thoại,9,7840000,6000000,70560000,16560000
20,04/01/2023,1,Miền Bắc,Tai nghe,3,520000,250000,1560000,810000
21,09/11/2023,11,Miền Bắc,Bàn phím,6,800000,500000,4800000,1800000
22,23/07/2023,7,Miền Nam,Laptop Dell,4,15600000,12000000,62400000,14400000
23,10/12/2023,12,Miền Bắc,Bàn phím,7,832000,500000,5824000,2324000
24,04/01/2023,1,Miền Bắc,Tai nghe,6,520000,250000,3120000,1620000
25,05/10/2023,10,Miền Bắc,Chuột quang,1,192000,100000,192000,92000
26,21/11/2023,11,Miền Bắc,Tai nghe,3,500000,250000,1500000,750000
27,08/06/2023,6,Miền Bắc,Tai nghe,1,500000,250000,500000,250000
28,17/11/2023,11,Miền Bắc,Bàn phím,8,776000,500000,6208000,2208000
29,25/03/2023,3,Miền Bắc,Điện thoại,4,7920000,6000000,31680000,7680000
30,10/09/2023,9,Miền Nam,Điện thoại,2,8320000,6000000,16640000,4640000
31,12/08/2023,8,Miền Bắc,Chuột quang,5,192000,100000,960000,460000
32,24/01/2023,1,Miền Trung,Chuột quang,3,194000,110000,582000,252000
33,06/02/2023,2,Miền Trung,Chuột quang,7,204000,110000,1428000,658000
34,23/08/2023,8,Miền Bắc,Chuột quang,5,206000,100000,1030000,530000
35,10/09/2023,9,Miền Nam,Tai nghe,5,500000,250000,2500000,1250000
36,10/05/2023,5,Miền Trung,Laptop Dell,4,14550000,13200000,58200000,5400000
37,20/04/2023,4,Miền Nam,Điện thoại,4,7920000,6000000,31680000,7680000
38,02/02/2023,2,Miền Bắc,Điện thoại,1,8080000,6000000,8080000,2080000
39,15/09/2023,9,Miền Bắc,Tai nghe,5,490000,250000,2450000,1200000
40,11/11/2023,11,Miền Bắc,Chuột quang,7,194000,100000,1358000,658000
41,19/04/2023,4,Miền Nam,Chuột quang,4,208000,100000,832000,432000
42,10/08/2023,8,Miền Bắc,Bàn phím,5,776000,500000,3880000,1380000
43,17/09/2023,9,Miền Bắc,Chuột quang,4,192000,100000,768000,368000
44,11/08/2023,8,Miền Nam,Điện thoại,3,8240000,6000000,24720000,6720000
45,11/04/2023,4,Miền Trung,Bàn phím,2,776000,550000,1552000,452000
46,16/06/2023,6,Miền Nam,Tai nghe,2,510000,250000,1020000,520000
47,07/07/2023,7,Miền Bắc,Điện thoại,4,8160000,6000000,32640000,8640000
48,27/03/2023,3,Miền Trung,Bàn phím,3,776000,550000,2328000,678000
49,19/01/2023,1,Miền Bắc,Laptop Dell,5,14400000,12000000,72000000,12000000
50,12/02/2023,2,Miền Trung,Chuột quang,1,194000,110000,194000,84000
51,08/12/2023,12,Miền Bắc,Laptop Dell,1,15000000,12000000,15000000,3000000
52,16/03/2023,3,Miền Nam,Bàn phím,1,792000,500000,792000,292000
53,01/04/2023,4,Miền Bắc,Laptop Dell,2,15600000,12000000,31200000,7200000
54,15/02/2023,2,Miền Trung,Laptop Dell,6,14850000,13200000,89100000,9900000
55,18/10/2023,10,Miền Bắc,Laptop Dell,1,15600000,12000000,15600000,3600000
56,09/05/2023,5,Miền Trung,Chuột quang,5,202000,110000,1010000,460000
57,06/10/2023,10,Miền Nam,Bàn phím,5,824000,500000,4120000,1620000
58,13/01/2023,1,Miền Bắc,Tai nghe,7,495000,250000,3465000,1715000
59,23/12/2023,12,Miền Bắc,Bàn phím,6,824000,500000,4944000,1944000
60,10/08/2023,8,Miền Bắc,Bàn phím,3,800000,500000,2400000,900000
61,11/06/2023,6,Miền Nam,Bàn phím,4,784000,500000,3136000,1136000
62,09/06/2023,6,Miền Bắc,Laptop Dell,1,15150000,12000000,15150000,3150000
63,11/08/2023,8,Miền Bắc,Bàn phím,4,816000,500000,3264000,1264000
64,22/01/2023,1,Miền Nam,Laptop Dell,5,14550000,12000000,72750000,12750000
65,08/01/2023,1,Miền Trung,Điện thoại,6,7760000,6600000,46560000,6960000
66,04/09/2023,9,Miền Nam,Laptop Dell,1,14850000,12000000,14850000,2850000
67,06/08/2023,8,Miền Bắc,Laptop Dell,5,15000000,12000000,75000000,15000000
68,18/07/2023,7,Miền Bắc,Laptop Dell,3,14550000,12000000,43650000,7650000
69,12/10/2023,10,Miền Nam,Tai nghe,2,490000,250000,980000,480000
70,24/02/2023,2,Miền Trung,Điện thoại,5,7760000,6600000,38800000,5800000
71,21/03/2023,3,Miền Trung,Bàn phím,2,768000,550000,1536000,436000
72,26/07/2023,7,Miền Nam,Laptop Dell,1,14850000,12000000,14850000,2850000
73,13/10/2023,10,Miền Bắc,Bàn phím,2,800000,500000,1600000,600000
74,18/06/2023,6,Miền Bắc,Bàn phím,2,800000,500000,1600000,600000
75,28/06/2023,6,Miền Trung,Tai nghe,1,520000,275000,520000,245000
76,19/12/2023,12,Miền Bắc,Điện thoại,9,7680000,6000000,69120000,15120000
77,21/11/2023,11,Miền Trung,Điện thoại,7,8320000,6600000,58240000,12040000
78,09/07/2023,7,Miền Trung,Điện thoại,3,7840000,6600000,23520000,3720000
79,11/10/2023,10,Miền Nam,Điện thoại,2,8160000,6000000,16320000,4320000
80,05/02/2023,2,Miền Bắc,Bàn phím,8,760000,500000,6080000,2080000
81,16/09/2023,9,Miền Bắc,Bàn phím,4,808000,500000,3232000,1232000
82,11/06/2023,6,Miền Bắc,Chuột quang,4,204000,100000,816000,416000
83,13/08/2023,8,Miền Nam,Chuột quang,2,200000,100000,400000,200000
84,23/04/2023,4,Miền Bắc,Tai nghe,2,480000,250000,960000,460000
85,16/09/2023,9,Miền Bắc,Chuột quang,4,194000,100000,776000,376000
86,24/08/2023,8,Miền Trung,Laptop Dell,1,14550000,13200000,14550000,1350000
87,11/08/2023,8,Miền Bắc,Bàn phím,4,784000,500000,3136000,1136000
88,16/03/2023,3,Miền Nam,Tai nghe,1,485000,250000,485000,235000
89,06/09/2023,9,Miền Nam,Tai nghe,4,500000,250000,2000000,1000000
90,06/10/2023,10,Miền Nam,Chuột quang,5,204000,100000,1020000,520000
91,21/01/2023,1,Miền Nam,Bàn phím,9,784000,500000,7056000,2556000
92,04/12/2023,12,Miền Bắc,Laptop Dell,5,15600000,12000000,78000000,18000000
93,27/02/2023,2,Miền Trung,Laptop Dell,7,14700000,13200000,102900000,10500000
94,01/01/2023,1,Miền Trung,Chuột quang,8,204000,110000,1632000,752000
95,05/01/2023,1,Miền Trung,Chuột quang,3,194000,110000,582000,252000
96,23/05/2023,5,Miền Trung,Bàn phím,5,832000,550000,4160000,1410000
97,23/04/2023,4,Miền Trung,Tai nghe,3,480000,275000,1440000,615000
98,08/10/2023,10,Miền Nam,Laptop Dell,1,14850000,12000000,14850000,2850000
